TIMESTAMP,WindDir
2022-06-06 18:35:00,308.2
2022-06-06 18:40:00,308.6
2022-06-06 18:45:00,311.4
2022-06-06 18:50:00,314.3
2022-06-06 18:55:00,315.9
2022-06-06 19:00:00,316.7
2022-06-06 19:05:00,308.2
2022-06-06 19:10:00,308.5
2022-06-06 19:15:00,306.1
2022-06-06 19:20:00,312.7
2022-06-06 19:25:00,307.1
2022-06-06 19:30:00,84.2
2022-06-06 19:35:00,132.6
2022-06-06 19:40:00,259.3
2022-06-06 19:45:00,275.5
2022-06-06 19:50:00,261.3
2022-06-06 19:55:00,238.1
2022-06-06 20:00:00,224.8
2022-06-06 20:05:00,225.6
2022-06-06 20:10:00,228.4
2022-06-06 20:15:00,189.6
2022-06-06 20:20:00,218.8
2022-06-06 20:25:00,199.7
2022-06-06 20:30:00,209.5
2022-06-06 20:35:00,200.7
2022-06-06 20:40:00,254.1
2022-06-06 20:45:00,182.3
2022-06-06 20:50:00,196.1
2022-06-06 20:55:00,182.9
2022-06-06 21:00:00,222.8
2022-06-06 21:05:00,178.9
2022-06-06 21:10:00,221.5
2022-06-06 21:15:00,177.4
2022-06-06 21:20:00,173.8
2022-06-06 21:25:00,153.3
2022-06-06 21:30:00,176.7
2022-06-06 21:35:00,172.9
2022-06-06 21:40:00,188.2
2022-06-06 21:45:00,174.4
2022-06-06 21:50:00,230.1
2022-06-06 21:55:00,202.1
2022-06-06 22:00:00,148.6
2022-06-06 22:05:00,202.0
2022-06-06 22:10:00,155.2
2022-06-06 22:15:00,177.3
2022-06-06 22:20:00,184.0
2022-06-06 22:25:00,198.9
2022-06-06 22:30:00,170.9
2022-06-06 22:35:00,130.7
2022-06-06 22:40:00,209.1
2022-06-06 22:45:00,199.5
2022-06-06 22:50:00,177.4
2022-06-06 22:55:00,200.0
2022-06-06 23:00:00,231.8
2022-06-06 23:05:00,198.3
2022-06-06 23:10:00,218.4
2022-06-06 23:15:00,225.6
2022-06-06 23:20:00,211.4
2022-06-06 23:25:00,197.4
2022-06-06 23:30:00,182.6
2022-06-06 23:35:00,185.9
2022-06-06 23:40:00,210.6
2022-06-06 23:45:00,182.0
2022-06-06 23:50:00,161.2
2022-06-06 23:55:00,159.7
2022-06-07 00:00:00,148.1
2022-06-07 00:05:00,150.2
2022-06-07 00:10:00,184.3
2022-06-07 00:15:00,181.6
2022-06-07 00:20:00,193.2
2022-06-07 00:25:00,182.5
2022-06-07 00:30:00,227.2
2022-06-07 00:35:00,198.0
2022-06-07 00:40:00,209.5
2022-06-07 00:45:00,181.7
2022-06-07 00:50:00,198.7
2022-06-07 00:55:00,204.3
2022-06-07 01:00:00,216.5
2022-06-07 01:05:00,201.7
2022-06-07 01:10:00,167.0
2022-06-07 01:15:00,184.9
2022-06-07 01:20:00,177.5
2022-06-07 01:25:00,172.8
2022-06-07 01:30:00,179.4
2022-06-07 01:35:00,65.0
2022-06-07 01:40:00,93.9
2022-06-07 01:45:00,201.4
2022-06-07 01:50:00,272.2
2022-06-07 01:55:00,227.4
2022-06-07 02:00:00,201.8
2022-06-07 02:05:00,204.1
2022-06-07 02:10:00,195.9
2022-06-07 02:15:00,159.1
2022-06-07 02:20:00,173.7
2022-06-07 02:25:00,216.2
2022-06-07 02:30:00,208.2
2022-06-07 02:35:00,227.5
2022-06-07 02:40:00,174.1
2022-06-07 02:45:00,189.4
2022-06-07 02:50:00,217.8
2022-06-07 02:55:00,176.1
2022-06-07 03:00:00,93.0
2022-06-07 03:05:00,131.7
2022-06-07 03:10:00,160.6
2022-06-07 03:15:00,185.0
2022-06-07 03:20:00,196.8
2022-06-07 03:25:00,178.5
2022-06-07 03:30:00,181.8
2022-06-07 03:35:00,127.2
